Ceremony,Year,Location,Class,Category,Movie,Movie Code,Name,Nominees,Winner,Detail,Note
83,2010,"253 Macdougal St, New York, NY 10012, USA",Special,HONORARY AWARD,,,,Kevin Brownlow,True,,
83,2010,"254 Macdougal St, New York, NY 10012, USA",Special,HONORARY AWARD,,,,Jean-Luc Godard,True,,
83,2010,"255 Macdougal St, New York, NY 10012, USA",Special,HONORARY AWARD,,,,Eli Wallach,True,,
83,2010,"256 Macdougal St, New York, NY 10012, USA",Special,IRVING G. THALBERG MEMORIAL AWARD,,,Francis Ford Coppola,Francis Ford Coppola,True,,
83,2010,"257 Macdougal St, New York, NY 10012, USA",SciTech,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),,,,Dr. Mark Sagar,True,Digital Imaging Technology,"Dr. Sagar's work led to a method for transforming facial motion capture data into an expression-based, editable character animation system that has been used in motion pictures with a high volume of digital characters."
83,2010,"258 Macdougal St, New York, NY 10012, USA",SciTech,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),,,,Mark Noel|John Frazier,True,Stage Operations,"The NAC System allows full-size cars, aircraft and other heavy props to be flown on wires with unprecedented freedom of motion and a high degree of safety, on-set and in real time. The intuitive control system responds to the motion of the operator's hand, permitting the recording and playback of all axes of motion simultaneously, which may be edited and refined for playback in subsequent takes."
83,2010,"259 Macdougal St, New York, NY 10012, USA",SciTech,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),,,,James Rodnunsky|ALEX MacDONALD|Mark Chapman,True,Camera Cranes,The evolution of the Cablecam technology has made it possible to move a camera safely and accurately anywhere through a three-dimensional space.
83,2010,"260 Macdougal St, New York, NY 10012, USA",SciTech,SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),,,,Tim Drnec|Ben Britten Smith|Matt Davis,True,Camera Cranes,The evolution of the Spydercam technology has made it possible to move a camera safely and accurately anywhere through a three-dimensional space.
83,2010,"261 Macdougal St, New York, NY 10012, USA",SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,,Greg Ercolano,True,Digital Imaging Technology,"Mr. Ercolano's work has been influential across the industry, and has enabled scalable render farms at numerous studios."
83,2010,"262 Macdougal St, New York, NY 10012, USA",SciTech,SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,,David M. Laur,True,Digital Imaging Technology,"This system was the first robust, scalable, widely adopted commercial solution for queue management in the motion picture industry. Its user interface and support for multi-machine assignment influenced the design of modern day queue management tools."
